# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00370205 0.0006
24 0.94 0.110296 0.0201
25 0.98 0.633428 0.14182
26 1.02 1.58979 0.47276
27 1.06 2.31049 0.99218
28 1.1 2.55892 1.61168
29 1.14 2.43458 2.24472
30 1.18 2.2172 2.8624
31 1.22 1.95379 3.44422
32 1.26 1.70673 3.98634
33 1.3 1.51372 4.49816
34 1.34 1.36268 4.9877
35 1.38 1.2251 5.45448
36 1.42 1.14372 5.91588
37 1.46 1.07854 6.37584
38 1.5 1.00908 6.83008
39 1.54 0.964677 7.2878
40 1.58 0.944084 7.75932
41 1.62 0.941236 8.25352
42 1.66 0.929654 8.76604
43 1.7 0.93184 9.30482
44 1.74 0.950246 9.8804
45 1.78 0.959796 10.4888
46 1.82 0.980394 11.1385
47 1.86 1.02158 11.8456
48 1.9 1.04211 12.5982
49 1.94 1.08333 13.4139
50 1.98 1.11227 14.2863
51 2.02 1.1494 15.2246
52 2.06 1.18051 16.2268
53 2.1 1.19697 17.2829
54 2.14 1.20148 18.3837
55 2.18 1.19601 19.5208
56 2.22 1.18827 20.6925
57 2.26 1.17602 21.8942
58 2.3 1.14473 23.1057
59 2.34 1.13179 24.3455
60 2.38 1.10561 25.5984
61 2.42 1.08527 26.8699
62 2.46 1.06138 28.1549
63 2.5 1.05774 29.4775
64 2.54 1.0548 30.8389
65 2.58 1.03474 32.2169
66 2.62 1.02376 33.6228
67 2.66 1.02857 35.0788
68 2.7 1.02144 36.5685
69 2.74 1.01339 38.0906
70 2.78 1.02163 39.6701
71 2.82 1.02488 41.3007
72 2.86 1.02853 42.9838
73 2.9 1.03519 44.7255
74 2.94 1.04068 46.5251
75 2.98 1.04259 48.3773
76 3.02 1.04575 50.2854
77 3.06 1.04468 52.2424
78 3.1 1.04407 54.2497
79 3.14 1.04642 56.3138
80 3.18 1.04038 58.4185
81 3.22 1.04259 60.5812
82 3.26 1.0396 62.7915
83 3.3 1.03173 65.0393
84 3.34 1.03555 67.3504
85 3.38 1.02431 69.6915
86 3.42 1.01569 72.0682
87 3.46 1.01283 74.4939
88 3.5 1.00973 76.9685
89 3.54 1.00309 79.4833
90 3.58 1.00373 82.0569
91 3.62 1.00457 84.6905
92 3.66 0.997231 87.363
93 3.7 0.993363 90.0836
94 3.74 0.995228 92.8686
95 3.78 0.994987 95.7128
96 3.82 0.988967 98.5999
97 3.86 0.996724 101.571
98 3.9 0.99578 104.601
99 3.94 0.99859 107.702
100 3.98 0.990793 110.842
400000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00345525 0.00056
24 0.94 0.111993 0.02036
25 0.98 0.650601 0.14538
26 1.02 1.57779 0.47382
27 1.06 2.31671 0.99464
28 1.1 2.53446 1.60822
29 1.14 2.45827 2.24742
30 1.18 2.23508 2.87008
31 1.22 1.94761 3.45006
32 1.26 1.73664 4.00168
33 1.3 1.54341 4.52354
34 1.34 1.35572 5.01058
35 1.38 1.2356 5.48136
36 1.42 1.14709 5.94412
37 1.46 1.06602 6.39874
38 1.5 1.02738 6.86122
39 1.54 0.972896 7.32284
40 1.58 0.955136 7.79988
41 1.62 0.934646 8.29062
42 1.66 0.928639 8.80258
43 1.7 0.937721 9.34476
44 1.74 0.943345 9.91616
45 1.78 0.964181 10.5273
46 1.82 0.992224 11.1849
47 1.86 1.02095 11.8915
48 1.9 1.05498 12.6535
49 1.94 1.09533 13.4782
50 1.98 1.1319 14.366
51 2.02 1.15621 15.3098
52 2.06 1.18551 16.3163
53 2.1 1.1967 17.3721
54 2.14 1.20357 18.4749
55 2.18 1.21284 19.628
56 2.22 1.20057 20.8117
57 2.26 1.18481 22.0224
58 2.3 1.14812 23.2375
59 2.34 1.13622 24.4822
60 2.38 1.11679 25.7478
61 2.42 1.09676 27.0328
62 2.46 1.07222 28.3309
63 2.5 1.064 29.6613
64 2.54 1.04507 31.0102
65 2.58 1.04515 32.402
66 2.62 1.02859 33.8145
67 2.66 1.02721 35.2686
68 2.7 1.02877 36.769
69 2.74 1.02809 38.3131
70 2.78 1.02718 39.9013
71 2.82 1.02909 41.5385
72 2.86 1.03846 43.2379
73 2.9 1.04296 44.9927
74 2.94 1.03996 46.791
75 2.98 1.04327 48.6445
76 3.02 1.04639 50.5537
77 3.06 1.05065 52.5219
78 3.1 1.05604 54.5522
79 3.14 1.04687 56.6172
80 3.18 1.04943 58.7402
81 3.22 1.0459 60.9097
82 3.26 1.0414 63.1239
83 3.3 1.03929 65.3881
84 3.34 1.03108 67.6893
85 3.38 1.02765 70.038
86 3.42 1.02282 72.4314
87 3.46 1.01803 74.8696
88 3.5 1.02297 77.3766
89 3.54 1.0098 79.9082
90 3.58 1.00557 82.4865
91 3.62 1.00007 85.1083
92 3.66 1.00332 87.7971
93 3.7 1.00473 90.5489
94 3.74 0.997637 93.3406
95 3.78 0.998968 96.1962
